videoID,ID,Religion_PRED,Race_PRED,Gender_PRED,Gender Identity/Sexual Orientation_PRED,Immigration_PRED,Ethnicity/Identitarian/Nationalism_PRED,Anti-semitism_PRED,n_flavors,predicted_at,Active_Columns,Label,TAGS,GroupedTAGS
eIsFg8Iq_CQ,12666 - 12667,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
eJEssNBG3I0,12716 - 12717,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
eKSujB8_QWI,12798 - 12800,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
eKe2XbtT864,12760 - 12777,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW,AntiSJW
eMzAC-AQD-o,12866 - 12868,0,1,0,0,0,0,1,2,2023-08-10T14:52:22,"Race_PRED, Anti-semitism_PRED",Hate,WhiteIdentitarian,White Identitarian
eNS_pJh4YIU,12918 - 12926,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW,AntiSJW
eRVFzY8FlIs,4696 - 4724,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,PartisanLeft|SocialJustice,Social Justice
eVCw97P-o7I,13367 - 13397,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,AntiTheist|PartisanLeft|SocialJustice,Social Justice
eVNEqkOKYHw,13398 - 13419,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,AntiSJW|WhiteIdentitarian,White Identitarian
eWtx8XQuPvo,13431 - 13431,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,WhiteIdentitarian,White Identitarian
eWyykU2S8io,13432 - 13439,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,AntiSJW|LGBT,LGBT
eX1T-3jbK64,13440 - 13441,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
eXZ4I6sLSf0,13497 - 13503,0,1,0,0,0,0,0,1,2023-08-10T14:52:22,Race_PRED,Hate,PartisanRight|WhiteIdentitarian,White Identitarian
eaitdKwL980,12159 - 12161,0,0,0,0,0,0,1,1,2023-08-10T14:52:22,Anti-semitism_PRED,Hate,Mainstream News,Mainstream News
eakGPZ3utA8,12162 - 12177,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW,AntiSJW
eatDVat73Qs,12178 - 12178,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
eeuegNkuEwI,12549 - 12549,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
efS2P455W0E,12579 - 12602,1,0,0,0,0,1,0,2,2023-08-10T14:52:22,"Religion_PRED, Ethnicity/Identitarian/Nationalism_PRED",Hate,PartisanRight|WhiteIdentitarian,White Identitarian
ehCS0eKowuo,12609 - 12609,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|WhiteIdentitarian,White Identitarian
ejBC_fut2Es,12668 - 12715,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,PartisanLeft|SocialJustice,Social Justice
ejhngNP3Ahk,12718 - 12719,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
ek7Kbm8BgqE,12756 - 12759,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW,AntiSJW
ere0LOZVS3M,13253 - 13255,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News|PartisanLeft|SocialJustice,Social Justice
eu2apTVH0Io,13257 - 13266,0,0,0,1,1,0,0,2,2023-08-10T14:52:22,"Gender Identity/Sexual Orientation_PRED, Immigration_PRED",Hate,LGBT|SocialJustice,LGBT
